filename,relative_error,RMSE,gamma_pass_rate
13241077-f950-4ec9-8ad2-0b4b5e91a744.npy,0.11683025146175775,1.6505839852382985e-07,99.99956747404845
b03f3230-d549-4c7b-9a8f-a1cc4d0d4cfc.npy,0.11074379792595981,1.152953785639495e-07,99.9979815455594
c9f2b64c-685c-4769-9865-56f4195ae25d.npy,0.11306456168025186,1.5267475832119792e-07,99.96554209919262
23562d3c-13fb-4e9a-be30-d59f7efcfca2.npy,0.11775398769717015,1.74652968283288e-07,99.9989907727797
2988df34-1fb2-4a63-97ae-6c8d53208180.npy,0.12486122657442059,1.7136760292485417e-07,99.99091695501731
2d95a0d8-9430-4e43-8dce-7dc72fad3828.npy,0.13434431147959527,2.8919429873917774e-07,99.95371972318338
cda74c77-0408-49b3-b058-39fda26388e1.npy,0.12416977700413061,2.2525221290560637e-07,99.9989907727797
615c9375-67f8-4715-8d09-48af49cad7cb.npy,0.12761103216170736,2.6764861962102625e-07,99.9989907727797
ad9000a4-1f20-4cc7-afad-04024ae4b5c3.npy,0.11759361604090512,2.0741454308142252e-07,99.99307958477509
cb016d90-5f7d-4c08-b0ec-6609eb92fbed.npy,0.1145585435284281,1.7792841717840542e-07,99.99841407151095
33214747-a798-415b-8c3b-b2e067c760fd.npy,0.11254719795722537,1.4770244376564396e-07,99.99480968858131
7ab8afb4-794d-4a64-ac93-b62ff9b70a60.npy,0.1185750393487547,1.3150998087951814e-07,99.99106113033449
22cd718f-dfb9-4de3-a637-71323caa8719.npy,0.1435823469996497,3.52269295170948e-07,99.99149365628604
161bf1e3-746f-412a-91f6-efaaa9bd994d.npy,0.12955209331027553,1.4840034372864046e-07,99.99956747404845
58148e9f-7f4d-4d2d-a1b5-84140dd94a68.npy,0.11941020540249608,1.633083689823666e-07,99.96352364475202
190d2d9e-c2c5-45b1-bf81-376c561f07d8.npy,0.1257877288605118,1.4137362282961473e-07,99.98615916955018
eb176fcb-2481-4825-b816-b661e3216579.npy,0.14390373731654862,2.973235968012815e-07,99.9919261822376
0d347cdb-9d8d-4547-9642-8abbc470c33d.npy,0.13036478096964196,1.915894651509091e-07,99.97145328719724
2e6f9f73-25e8-48ea-af5f-22c503dfd3be.npy,0.113791205017599,1.381313569776575e-07,99.98558246828144
3e43c22c-b8cb-4e17-b3b8-67214fe02019.npy,0.1258709679977512,2.905811676130686e-07,99.99985582468281
c0f03f37-8975-4bc5-9123-fc10aeb927c1.npy,0.12033601746537022,2.581662596734062e-07,100.0
2c4c612c-1329-4e9b-9918-73fca3ccbf1a.npy,0.1262543595499853,2.519777609435675e-07,99.9979815455594
f733eef5-26b9-4986-bfe2-f2f617a18a98.npy,0.12269153282964357,2.1279288004330075e-07,99.99351211072664
9e0837fd-d291-43c8-b8fb-5215d9a2e8a7.npy,0.12419867948594908,1.5698658143134834e-07,99.99927912341407
cecb825f-f0ad-4a96-a83b-31eade94e767.npy,0.12093840172583915,1.6748232438368856e-07,99.98731257208766
f332108f-37dc-441a-8b15-b6369023aaa6.npy,0.12297023209736689,1.8155180847399077e-07,99.99826989619378
3d78180d-d78f-45b1-8587-dca0858b9331.npy,0.11736464042203516,1.9999395932686056e-07,99.9991349480969
0f5d856f-af5d-451a-9ba8-b5efd29c0620.npy,0.11566749482616809,1.439385790085663e-07,99.99553056516724
28ac5f88-0c8b-422f-8b0e-bfd4969ec802.npy,0.13952337688252736,2.9070897665583694e-07,99.99985582468281
b6999796-1ce0-4984-90ef-aeb153e63b16.npy,0.1276923690276318,2.7538020397525025e-07,99.98414071510958
ec704c65-4476-4578-93c2-c60f840aa4ec.npy,0.12372720685418184,1.9545846870860776e-07,99.99855824682814
c9271849-0174-4fbb-8ceb-c93451851e3d.npy,0.11498593735064715,1.5719972261263265e-07,99.99769319492503
39856fa9-4a8b-4037-9852-278a60f77420.npy,0.12022551911432552,1.4456315268905912e-07,99.99279123414071
d3229adf-2683-4741-8ac8-dc4cb0b29827.npy,0.11331795903194183,1.204946570612024e-07,99.99307958477509
1ba41a39-631d-4197-99ab-c4dea1b2b35c.npy,0.11986320788105913,1.7046424416161865e-07,99.98428489042675
6327d331-58e3-4e5e-a202-a46a3c9c6670.npy,0.12266205546346368,1.7697186686646428e-07,99.96741637831603
b14794d1-bac1-4d6b-942e-6ddcdaa7de1f.npy,0.11654210147001463,1.2925169235755086e-07,99.99408881199538
45510368-e272-4a60-add7-8b8d0b981087.npy,0.11469758660365993,1.714677447781864e-07,99.96525374855824
27416cc3-2d9f-498d-a928-09d120d11717.npy,0.12831570989322835,1.4105984870619278e-07,99.99985582468281
1ab3cf2b-6976-4a38-a03c-f9c4c7f0eb57.npy,0.12524848842415878,1.848092242875646e-07,99.99567474048443
e9317a4d-2368-4ff9-900d-fd1b122edc5e.npy,0.12180329893181058,2.745322007082949e-07,99.99711649365629
a4e02b51-83c0-4666-8fef-1b66549b24da.npy,0.12852719979479776,2.977142947306159e-07,99.99264705882352
a4688772-b0d6-45cd-839b-b2ded380aa13.npy,0.13722016239699683,3.5662685135023256e-07,99.98904267589388
faa192fd-1cd6-45f2-a202-86ac5287d2b9.npy,0.12487103273873577,1.9708004044711902e-07,99.99942329873126
770c4f02-af66-4019-b08e-15833c2dab42.npy,0.1068778944708291,1.2772033992583054e-07,99.99942329873126
6106d6c8-c5e8-4b8f-9abf-6132109f0a8b.npy,0.10532566819884896,1.1791599797561416e-07,99.99826989619378
150a101c-fc03-4dfa-ba13-f7a56915208e.npy,0.11189177240989066,1.5588896627653988e-07,99.97938292964244
853e7270-dada-45bf-be74-3a575b4fd843.npy,0.11246611815903769,2.0964453017478754e-07,99.98226643598616
31f723ba-d296-485a-a0c9-1bdbe5786c78.npy,0.12841368394790678,2.3211951873612305e-07,99.99480968858131
110313ee-fde4-4b1c-8048-b4f7c1631c9d.npy,0.11381697231847865,1.777805750580788e-07,99.99927912341407
ef8dba4f-141c-4fee-8845-42dee2ec5da9.npy,0.10981193071376495,1.287982768346526e-07,99.9991349480969
